lhs	rhs	rules	support	confidence	lift	count	oddsRatio	source	DiseaseName	Source	Found.identifier.Reactome	intended_target_entrez_gene_id	Entry.Uniprot	ReactomeID	Name	Species	URL	EvidenceCode	Parent.Name	Major	Minor
ESR1	D006528	{ESR1=1} => {MESH.D006528=1}	0.5	0.931034482758621	1.09295352323838	27	4.26315789473682	MESH	Carcinoma, Hepatocellular	MESH	P03372	2099	G4XH65	R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-2219530	TAS	PI3K/AKT Signaling in Cancer	Disease	Diseases of signal transduction
ESR1	D006528	{ESR1=1} => {MESH.D006528=1}	0.5	0.931034482758621	1.09295352323838	27	4.26315789473682	MESH	Carcinoma, Hepatocellular	MESH	P03372	2099	G4XH65	R-HSA-5689896	Ovarian tumor domain proteases	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-5689896	TAS	Deubiquitination	Metabolism of proteins	Post-translational protein modification
ESR1	D006528	{ESR1=1} => {MESH.D006528=1}	0.5	0.931034482758621	1.09295352323838	27	4.26315789473682	MESH	Carcinoma, Hepatocellular	MESH	P03372	2099	G4XH65	R-HSA-383280	Nuclear Receptor transcription pathway	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-383280	TAS	Generic Transcription Pathway	Gene expression (Transcription)	RNA Polymerase II Transcription
ESR1	D006528	{ESR1=1} => {MESH.D006528=1}	0.5	0.931034482758621	1.09295352323838	27	4.26315789473682	MESH	Carcinoma, Hepatocellular	MESH	P03372-3	2099	P03372	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-6811558	TAS	Negative regulation of the PI3K/AKT network	Signal Transduction	Intracellular signaling by second messengers
ESR1	D006528	{ESR1=1} => {MESH.D006528=1}	0.5	0.931034482758621	1.09295352323838	27	4.26315789473682	MESH	Carcinoma, Hepatocellular	MESH	P03372-3	2099	P03372	R-HSA-1257604	PIP3 activates AKT signaling	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-1257604	TAS	Intracellular signaling by second messengers	Signal Transduction	Intracellular signaling by second messengers
ESR1	D006528	{ESR1=1} => {MESH.D006528=1}	0.5	0.931034482758621	1.09295352323838	27	4.26315789473682	MESH	Carcinoma, Hepatocellular	MESH	P03372-3	2099	P03372	R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-2219530	TAS	PI3K/AKT Signaling in Cancer	Disease	Diseases of signal transduction
ESR1	D006528	{ESR1=1} => {MESH.D006528=1}	0.5	0.931034482758621	1.09295352323838	27	4.26315789473682	MESH	Carcinoma, Hepatocellular	MESH	P03372-3	2099	G4XH65	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-6811558	TAS	Negative regulation of the PI3K/AKT network	Signal Transduction	Intracellular signaling by second messengers
ESR1	D006528	{ESR1=1} => {MESH.D006528=1}	0.5	0.931034482758621	1.09295352323838	27	4.26315789473682	MESH	Carcinoma, Hepatocellular	MESH	P03372-3	2099	G4XH65	R-HSA-1257604	PIP3 activates AKT signaling	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-1257604	TAS	Intracellular signaling by second messengers	Signal Transduction	Intracellular signaling by second messengers
ESR1	D006528	{ESR1=1} => {MESH.D006528=1}	0.5	0.931034482758621	1.09295352323838	27	4.26315789473682	MESH	Carcinoma, Hepatocellular	MESH	P03372-3	2099	G4XH65	R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-2219530	TAS	PI3K/AKT Signaling in Cancer	Disease	Diseases of signal transduction
ESR1	D006528	{ESR1=1} => {MESH.D006528=1}	0.5	0.931034482758621	1.09295352323838	27	4.26315789473682	MESH	Carcinoma, Hepatocellular	MESH	P03372-4	2099	P03372	R-HSA-1257604	PIP3 activates AKT signaling	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-1257604	TAS	Intracellular signaling by second messengers	Signal Transduction	Intracellular signaling by second messengers
ESR1	D006528	{ESR1=1} => {MESH.D006528=1}	0.5	0.931034482758621	1.09295352323838	27	4.26315789473682	MESH	Carcinoma, Hepatocellular	MESH	P03372-4	2099	P03372	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-6811558	TAS	Negative regulation of the PI3K/AKT network	Signal Transduction	Intracellular signaling by second messengers
ESR1	D006528	{ESR1=1} => {MESH.D006528=1}	0.5	0.931034482758621	1.09295352323838	27	4.26315789473682	MESH	Carcinoma, Hepatocellular	MESH	P03372-4	2099	P03372	R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-2219530	TAS	PI3K/AKT Signaling in Cancer	Disease	Diseases of signal transduction
ESR1	D006528	{ESR1=1} => {MESH.D006528=1}	0.5	0.931034482758621	1.09295352323838	27	4.26315789473682	MESH	Carcinoma, Hepatocellular	MESH	P03372-4	2099	G4XH65	R-HSA-1257604	PIP3 activates AKT signaling	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-1257604	TAS	Intracellular signaling by second messengers	Signal Transduction	Intracellular signaling by second messengers
ESR1	D006528	{ESR1=1} => {MESH.D006528=1}	0.5	0.931034482758621	1.09295352323838	27	4.26315789473682	MESH	Carcinoma, Hepatocellular	MESH	P03372-4	2099	G4XH65	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-6811558	TAS	Negative regulation of the PI3K/AKT network	Signal Transduction	Intracellular signaling by second messengers
ESR1	D006528	{ESR1=1} => {MESH.D006528=1}	0.5	0.931034482758621	1.09295352323838	27	4.26315789473682	MESH	Carcinoma, Hepatocellular	MESH	P03372-4	2099	G4XH65	R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-2219530	TAS	PI3K/AKT Signaling in Cancer	Disease	Diseases of signal transduction
ESR1	D006528	{ESR1=1} => {MESH.D006528=1}	0.5	0.931034482758621	1.09295352323838	27	4.26315789473682	MESH	Carcinoma, Hepatocellular	MESH	P03372	2099	P03372	R-HSA-8866910	TFAP2 (AP-2) family regulates transcription of growth factors and their receptors	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-8866910	TAS	Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	Gene expression (Transcription)	RNA Polymerase II Transcription
